side,entry_time,exit_time,entry_price,exit_price,pnl_pct,duration_bars
LONG,2025-11-13 13:10:00+05:30,2025-11-13 13:15:00+05:30,25980.1,25978.55,-5.966104826383549e-05,1
SHORT,2025-11-13 14:05:00+05:30,2025-11-13 14:20:00+05:30,25908.7,25917.3,-0.00033193483270092843,3
LONG,2025-11-14 11:05:00+05:30,2025-11-14 11:10:00+05:30,25842.5,25849.15,0.0002573280448873544,1
SHORT,2025-11-14 13:00:00+05:30,2025-11-14 13:05:00+05:30,25799.65,25787.75,0.00046124656729845,1
LONG,2025-11-14 13:35:00+05:30,2025-11-14 13:50:00+05:30,25805.0,25763.1,-0.0016237163340438463,3
LONG,2025-11-14 14:45:00+05:30,2025-11-14 14:50:00+05:30,25790.8,25784.6,-0.0002403958000527602,1
SHORT,2025-11-14 15:00:00+05:30,2025-11-14 15:05:00+05:30,25767.6,25887.55,-0.004655070708952356,1
LONG,2025-11-14 15:10:00+05:30,2025-11-14 15:20:00+05:30,25937.45,25917.25,-0.0007787966820177283,2
SHORT,2025-11-17 11:35:00+05:30,2025-11-17 11:40:00+05:30,25933.75,25932.15,6.169566684334294e-05,1
LONG,2025-11-17 12:00:00+05:30,2025-11-17 12:20:00+05:30,25964.8,25975.6,0.0004159477446388677,4
LONG,2025-11-17 15:10:00+05:30,2025-11-17 15:15:00+05:30,26013.75,26013.15,-2.306472538555744e-05,1
SHORT,2025-11-18 09:25:00+05:30,2025-11-18 09:35:00+05:30,25959.15,25963.05,-0.00015023604393818045,2
SHORT,2025-11-18 12:45:00+05:30,2025-11-18 12:50:00+05:30,25940.8,25931.8,0.0003469438105224203,1
LONG,2025-11-18 13:10:00+05:30,2025-11-18 13:15:00+05:30,25961.25,25952.95,-0.0003197072560065202,1
SHORT,2025-11-19 11:20:00+05:30,2025-11-19 11:25:00+05:30,25933.05,25938.9,-0.00022558087074224525,1
LONG,2025-11-19 14:10:00+05:30,2025-11-19 14:15:00+05:30,26013.95,26033.1,0.0007361434922415787,1
SHORT,2025-11-21 11:30:00+05:30,2025-11-21 11:45:00+05:30,26103.2,26086.3,0.0006474302001287756,3
SHORT,2025-11-21 13:30:00+05:30,2025-11-21 13:40:00+05:30,26116.8,26119.65,-0.00010912516081611005,2
SHORT,2025-11-21 14:55:00+05:30,2025-11-21 15:20:00+05:30,26091.9,26064.9,0.0010348039046600668,5
LONG,2025-11-24 10:10:00+05:30,2025-11-24 10:35:00+05:30,26117.75,26128.2,0.0004001110355984236,5
SHORT,2025-11-24 11:55:00+05:30,2025-11-24 12:10:00+05:30,26070.4,26073.45,-0.00011699091690189918,3
LONG,2025-11-24 13:25:00+05:30,2025-11-24 13:30:00+05:30,26093.35,26083.7,-0.000369826028470772,1
SHORT,2025-11-25 11:00:00+05:30,2025-11-25 11:10:00+05:30,25938.95,25936.85,8.095932950262762e-05,2
LONG,2025-11-25 12:05:00+05:30,2025-11-25 12:20:00+05:30,25976.35,25964.0,-0.0004754324606805246,3
LONG,2025-11-25 12:50:00+05:30,2025-11-25 12:55:00+05:30,25986.3,25994.55,0.00031747497719952436,1
SHORT,2025-11-25 14:35:00+05:30,2025-11-25 14:55:00+05:30,25958.45,25921.15,0.001436911680011683,4
SHORT,2025-11-26 14:55:00+05:30,2025-11-26 15:05:00+05:30,26185.65,26197.65,-0.0004582662641561313,2
SHORT,2025-11-27 11:40:00+05:30,2025-11-27 11:45:00+05:30,26262.75,26269.05,-0.00023988348516432105,1
LONG,2025-11-27 14:30:00+05:30,2025-11-27 14:35:00+05:30,26205.9,26205.75,-5.723901869481879e-06,1
SHORT,2025-11-27 15:00:00+05:30,2025-11-27 15:15:00+05:30,26190.8,26213.2,-0.000855262153122526,3
LONG,2025-12-01 09:25:00+05:30,2025-12-01 09:30:00+05:30,26292.5,26284.75,-0.0002947608633640772,1
SHORT,2025-12-01 11:50:00+05:30,2025-12-01 12:20:00+05:30,26191.25,26170.6,0.0007884312508949154,6
SHORT,2025-12-01 14:50:00+05:30,2025-12-01 14:55:00+05:30,26175.2,26144.25,0.001182416944283166,1
SHORT,2025-12-02 11:20:00+05:30,2025-12-02 11:25:00+05:30,26081.1,26082.3,-4.601032931896e-05,1
SHORT,2025-12-02 12:50:00+05:30,2025-12-02 13:00:00+05:30,26050.15,26041.15,0.0003454874540069827,2
LONG,2025-12-02 14:05:00+05:30,2025-12-02 14:10:00+05:30,26054.25,26059.0,0.0001823119068865924,1
SHORT,2025-12-02 14:30:00+05:30,2025-12-02 14:40:00+05:30,26041.55,26014.75,0.001029124610478227,2
SHORT,2025-12-03 09:30:00+05:30,2025-12-03 09:55:00+05:30,25962.85,25942.65,0.0007780347689100808,5
LONG,2025-12-03 11:45:00+05:30,2025-12-03 11:55:00+05:30,25930.8,25931.6,3.085134280466752e-05,2
SHORT,2025-12-03 13:25:00+05:30,2025-12-03 13:30:00+05:30,25926.65,25938.7,-0.0004647727338471909,1
LONG,2025-12-03 13:40:00+05:30,2025-12-03 13:45:00+05:30,25943.55,25929.25,-0.0005511967329066096,1
SHORT,2025-12-03 13:55:00+05:30,2025-12-03 14:00:00+05:30,25913.55,25916.5,-0.00011384005664992746,1
LONG,2025-12-03 14:20:00+05:30,2025-12-03 14:45:00+05:30,25940.15,25939.2,-3.662276432482956e-05,5
SHORT,2025-12-04 11:45:00+05:30,2025-12-04 11:50:00+05:30,26028.75,26032.7,-0.0001517552706142526,1
SHORT,2025-12-05 14:05:00+05:30,2025-12-05 14:10:00+05:30,26160.8,26155.05,0.00021979450169719582,1
LONG,2025-12-05 15:10:00+05:30,2025-12-05 15:15:00+05:30,26189.7,26187.55,-8.209334203910144e-05,1
SHORT,2025-12-08 09:35:00+05:30,2025-12-08 10:05:00+05:30,26127.75,26071.05,0.0021701064959669595,6
LONG,2025-12-08 15:10:00+05:30,2025-12-09 09:15:00+05:30,25980.45,25867.1,-0.004362895946760052,4
SHORT,2025-12-09 09:20:00+05:30,2025-12-09 09:30:00+05:30,25819.6,25799.25,0.000788160932005087,2
LONG,2025-12-09 11:05:00+05:30,2025-12-09 11:10:00+05:30,25826.95,25847.15,0.0007821287453609787,1
SHORT,2025-12-09 14:25:00+05:30,2025-12-09 14:35:00+05:30,25826.5,25819.05,0.0002884633999961562,2
LONG,2025-12-10 09:25:00+05:30,2025-12-10 09:45:00+05:30,25855.35,25906.1,0.001962843280017482,4
SHORT,2025-12-10 11:00:00+05:30,2025-12-10 11:25:00+05:30,25837.1,25861.2,-0.0009327672223276677,5
SHORT,2025-12-10 14:05:00+05:30,2025-12-10 14:15:00+05:30,25765.2,25758.45,0.00026198127707139865,2
LONG,2025-12-11 09:35:00+05:30,2025-12-11 09:50:00+05:30,25787.3,25737.1,-0.0019466946907974363,3
LONG,2025-12-11 10:20:00+05:30,2025-12-11 10:25:00+05:30,25812.4,25807.8,-0.00017820892284336917,1
LONG,2025-12-11 11:25:00+05:30,2025-12-11 11:30:00+05:30,25819.9,25820.6,2.7110871846796058e-05,1
